question_nl,option1_nl,option2_nl,option3_nl,reason_nl,image_nl
Hoeveel rijstroken heeft deze rijbaan?,3,2,4,"
                    Er zijn 3 rijstroken op deze rijbaan, in dit geval moet u de gele lijnen opvolgen.
                ",https://www.alrawitheorie.nl/storage/images/exam18_q26_image-id-52.jpg
Mag je de fietser op het zebrapad inhalen?,Ja,Nee,,"
                    Nee. Je mag geen voertuigen inhalen op het zebrapad. (een ruiter mag je inhalen want dit is geen voertuig)
                ",https://www.alrawitheorie.nl/storage/questions/October2021/JuTRC5Addjl0kVEQtLy0.jpg
Je wil in de ochtend wegrijden en er ligt sneeuw op je auto. Wat moet je doen?,"Maak de auto sneeuwvrij, doe de motor aan, wacht 5 minuten en rij dan weg.",Maak de auto sneeuwvrij en rij dan rustig weg.,"Doe de motor aan, maak de auto daarna sneeuwvrij en rij dan weg.","
                    Maak de auto sneeuwvrij, rij dan rustig weg. Je moet  de motor niet eerst aan doen, want dit is slecht voor het milieu.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/84UYOoIZkqjz2FMDOcHh.jpg
U wilt rechts afslaan mag u de eerste afslag nemen?,Nee,Ja,,"
                    Het teken op het wegdek geeft aan dat je de eerste weg rechts niet mag inrijden, maar u kunt de tweede afslag wel nemen.
                ",https://www.alrawitheorie.nl/storage/images/exam18_q29_image-id-52.jpg
Op welke weg mag je inhalen?,Weg 1,Weg 2,,"
                    Je moet de gele lijn volgen, de gele lijn is doorgetrokken op weg 1, daarom mag je niet inhalen.  Je mag wel inhalen op de weg 1 want de onderbrokken gele streep stond op je linker kant.
                ",https://www.alrawitheorie.nl/storage/images/exam16_q30_image.jpg
Wat moet de minimale profieldiepte van de reserveband zijn wanneer je deze wil gaan gebruiken?,3 mm,1.6 mm,4 mm,"
                    De groeven (profieldiepte) van alle banden moeten 1.6 mm zijn.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/YHYZKzS7O9APF5Bh4D3U.jpg
Wat moet je doen?,Doorrijden,Stoppen,,"
                    Je moet het teken dat de verkeersregelaar geeft opvolgen. (de volgorde van het houden aan verkeersregels is : 1 de verkeersregelaar/politie, 2 het verkeerslicht, 3 het verkeersbord en 4 het teken op de weg)
                ",https://www.alrawitheorie.nl/storage/questions/November2021/2BZILDufAQy2SNQRfyTT.jpg
Mag een brommobiel deze weg betreden?,Nee,Ja,,"
                    Dit is een autoweg met een minimum snelheid van 50 km / u. Brommobielen hebben een maximumsnelheid van 45 km / u en mogen daarom deze weg niet inrijden.
                ",https://www.alrawitheorie.nl/storage/images/exam16_q33_image.jpg
"Als je met de cruise control rijdt, wanneer verbruik je meer brandstof?",Met hoge snelheid.,Het brandstofverbruik blijft gelijk.,Met lage snelheid,"
                    Bij hoge snelheid. De motor moet meer toeren maken om een hogere snelheid te kregen en meer luchtweerstand tegengaan.
                ",https://www.alrawitheorie.nl/storage/questions/October2021/ZVtKe4IhzPXbzsaBthey.jpg
Je rijdt in een tunnel en bent vergeten je dimlichten aan te doen. Moet u de lichten alsnog aandoen?,Ja,Nee,,"
                    Het is verplicht om het dimlicht ''s nachts, in tunnels en gedurende de dag een met bomen overdekte rijbanen te gebruiken. Opletten dus!!
                ",https://www.alrawitheorie.nl/storage/images/exam16_q35_image-id-50_K38SSM0C3K0VR.jpg
Bij regenachtig weer mag het voormistlicht worden ingeschakeld zonder het dimlicht?,Ja,Nee,,"
                    Juridisch gezien is het toegestaan om het mist licht voor te gebruiken met dimlicht in regenachtige omstandigheden. Het is echter niet aan te raden, omdat het voor u en andere bestuurders een afleidende reflectie zal veroorzaken. De beste optie is om de mist voorlamp te gebruiken zonder het dimlicht.
                ",https://www.alrawitheorie.nl/storage/images/exam16_q36_image.jpg
Wat moet je doen in het geval van een lekke band?,Neem contact op met de garage,Bel nooddiensten door 112.,Bel de politie,"
                    Neem contact op met de garage. Neem geen contact op met de hulpdiensten of politie, dit is geen noodsituatie.
                ",https://www.alrawitheorie.nl/storage/images/exam17_q36_image-id-51_K36VRK53ELSOQ.jpg
